model,n_trials,subject_id,source_study,negative_log_likelihood,log_likelihood,aic,bic,uniform_choice_nll,nll_improvement_over_uniform,uniform_choice_fit,n_parameters_at_lower_bound,n_parameters_at_upper_bound,n_parameters_at_any_bound,converged,optimizer_message,n_function_evaluations,n_iterations,n_starts,learning_rate,inverse_temperature,outcome_sensitivity,loss_aversion,response_consistency,comparison_eligible,delta_aic,delta_bic,best_aic,best_bic
pvl_delta,95,1,Fridberg,40.26370920171179,-40.26370920171179,88.52741840342358,98.74292596982576,131.6979643063896,91.4342551046778,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,350,35,32,0.103243531088287,,1.0736756553605833,0.4596448835258961,2.556309084698197,True,0.0,0.0,True,True
q_learning,95,1,Fridberg,45.37089438744249,-45.37089438744249,94.74178877488498,99.84954255808606,131.6979643063896,86.3270699189471,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,66,18,8,0.0358285699609168,20.67767717280585,,,,True,6.214370371461399,1.1066165882602945,False,False
pvl_delta,95,2,Fridberg,125.50870326443123,-125.50870326443123,259.01740652886247,269.2329140952646,131.6979643063896,6.1892610419583605,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,405,49,32,0.0288175137341708,,1.2488384637138028,0.2783126919858251,2.02832532908995,True,0.0,1.1618703505473604,True,False
q_learning,95,2,Fridberg,129.4816449807581,-129.4816449807581,262.9632899615162,268.07104374471726,131.6979643063896,2.2163193256315026,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,261,59,10,0.0004081227451839,100.0,,,,True,3.9458834326537158,0.0,False,True
pvl_delta,95,3,Fridberg,115.67059213378076,-115.67059213378076,239.34118426756152,249.55669183396367,131.6979643063896,16.027372172608835,False,1,0,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,100,15,32,0.1552261062029235,,1e-06,0.2393792836140856,1.256257456237749,True,0.0,0.0,True,True
q_learning,95,3,Fridberg,131.46991462681368,-131.46991462681368,266.9398292536273,272.0475830368284,131.6979643063896,0.2280496795759177,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,222,47,10,0.0001282746105279,100.0,,,,True,27.59864498606578,22.49089120286476,False,False
pvl_delta,95,4,Fridberg,113.34271847960504,-113.34271847960504,234.6854369592101,244.90094452561223,131.6979643063896,18.35524582678454,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,135,19,32,0.0935353344309009,,0.4417294392506787,1.2511737892169978,1.5829864971874996,True,0.0,0.0,True,True
q_learning,95,4,Fridberg,131.2505108968527,-131.2505108968527,266.5010217937054,271.60877557690645,131.6979643063896,0.4474534095369051,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,375,78,10,0.0001707150701878,100.0,,,,True,31.81558483449527,26.70783105129422,False,False
pvl_delta,95,5,Fridberg,113.8412066201304,-113.8412066201304,235.6824132402608,245.8979208066629,131.6979643063896,17.8567576862592,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,565,66,32,0.062552670584102,,0.45168124071731,1.419731050288955,1.6106505757414336,True,0.0,0.0,True,True
q_learning,95,5,Fridberg,124.31303813079138,-124.31303813079138,252.6260762615828,257.7338300447839,131.6979643063896,7.38492617559821,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,189,44,9,0.0008344548748624,100.0,,,,True,16.94366302132201,11.835909238120962,False,False
pvl_delta,95,6,Fridberg,102.19900250158128,-102.19900250158128,212.39800500316255,222.61351256956476,131.6979643063896,29.498961804808303,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,360,46,32,0.000770863884051,,0.1300871889318748,4.610662198541196,5.0,True,0.0,0.0,True,True
q_learning,95,6,Fridberg,112.28825509627222,-112.28825509627222,228.57651019254445,233.68426397574552,131.6979643063896,19.40970921011737,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,156,27,8,0.0019900996780563,100.0,,,,True,16.178505189381895,11.070751406180761,False,False
pvl_delta,95,7,Fridberg,124.7583838614024,-124.7583838614024,257.51676772280484,267.732275289207,131.6979643063896,6.939580444987186,False,2,0,2,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,515,69,32,0.0741571115099075,,1e-06,1e-06,1.0071761018887713,True,0.0,0.0,True,True
q_learning,95,7,Fridberg,131.69376245527528,-131.69376245527528,267.3875249105505,272.49527869375163,131.6979643063896,0.0042018511143169,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33,2,7,9.841727152481238e-05,19.000000000000156,,,,True,9.870757187745653,4.763003404544634,False,False
pvl_delta,95,8,Fridberg,112.5806140968496,-112.5806140968496,233.1612281936992,243.37673576010133,131.6979643063896,19.117350209540007,False,1,0,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,580,73,32,0.0344242459329354,,1e-06,1.2300202252697836,1.6101893606265214,True,0.0,0.0,True,True
q_learning,95,8,Fridberg,127.1330278621737,-127.1330278621737,258.26605572434744,263.3738095075485,131.6979643063896,4.564936444215888,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,192,40,8,0.0006697427831605,100.0,,,,True,25.104827530648237,19.99707374744719,False,False
pvl_delta,95,9,Fridberg,116.80174432576976,-116.80174432576976,241.60348865153952,251.81899621794167,131.6979643063896,14.896219980619833,False,1,0,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,110,18,32,0.1390195402164406,,1e-06,0.7030660112018523,1.1512426973655352,True,0.0,0.0,True,True
q_learning,95,9,Fridberg,130.94966015817033,-130.94966015817033,265.89932031634066,271.00707409954174,131.6979643063896,0.7483041482192618,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,30,8,10,1.0,0.066479567468603,,,,True,24.295831664801142,19.188077881600066,False,False
pvl_delta,95,10,Fridberg,91.951809216342,-91.951809216342,191.90361843268403,202.11912599908615,131.6979643063896,39.74615509004758,False,1,0,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,325,47,32,0.0035251647172122,,1e-06,4.365536902645936,3.6450506219713694,True,0.0,0.0,True,True
q_learning,95,10,Fridberg,103.84236753853033,-103.84236753853033,211.68473507706065,216.7924888602617,131.6979643063896,27.85559676785928,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,114,23,8,0.0019637417819084,100.0,,,,True,19.781116644376624,14.673362861175548,False,False
pvl_delta,95,11,Fridberg,114.64336623339288,-114.64336623339288,237.2867324667857,247.5022400331879,131.6979643063896,17.054598072996725,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,530,56,32,0.0475210979421576,,0.8906919901756843,0.445881690482759,1.9786488559848765,True,0.0,0.0,True,True
q_learning,95,11,Fridberg,131.63057336548124,-131.63057336548124,267.2611467309625,272.3689005141636,131.6979643063896,0.0673909409083535,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33,8,3,0.4532134795374476,0.0384755951937735,,,,True,29.974414264176772,24.866660480975725,False,False
pvl_delta,95,12,Fridberg,118.91252215268386,-118.91252215268386,245.82504430536773,256.0405518717699,131.6979643063896,12.78544215370573,False,1,0,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,145,20,32,0.6899250292696851,,1.1998883274973675,1e-06,0.903298134216264,True,0.0,0.0,True,True
q_learning,95,12,Fridberg,130.60024288399396,-130.60024288399396,265.2004857679879,270.308239551189,131.6979643063896,1.0977214223956366,False,0,1,1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,24,6,2,1.0,0.0798263510671878,,,,True,19.375441462620188,14.267687679419112,False,False
pvl_delta,95,13,Fridberg,113.50361691861804,-113.50361691861804,235.0072338372361,245.22274140363825,131.6979643063896,18.194347387771543,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,340,37,32,0.0337019344268739,,0.495503756136695,1.3758016915530622,1.9765011860017945,True,0.0,0.0,True,True
q_learning,95,13,Fridberg,128.13594301762575,-128.13594301762575,260.2718860352515,265.3796398184526,131.6979643063896,3.5620212887638445,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,24,6,10,0.5530670289598469,0.2905108928473237,,,,True,25.264652198015398,20.15689841481432,False,False
pvl_delta,95,14,Fridberg,125.0615429958008,-125.0615429958008,258.1230859916016,268.33859355800377,131.6979643063896,6.636421310588787,False,0,0,0,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,80,13,32,0.4292583779683208,,0.220548287359451,0.1302750126671036,0.8879830788671863,True,0.0,0.0,True,True
q_learning,95,14,Fridberg,131.38525760814446,-131.38525760814446,266.7705152162889,271.87826899949,131.6979643063896,0.3127066982451367,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,30,7,3,1.0,0.0411878412873509,,,,True,8.6474292246873,3.5396754414862244,False,False
pvl_delta,95,15,Fridberg,118.77931985624592,-118.77931985624592,245.55863971249184,255.774147278894,131.6979643063896,12.918644450143674,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,390,42,32,0.000533943734707,,0.8369620374570365,1.328752394804663,5.0,True,3.173008583458852,8.2807623666599,False,False
q_learning,95,15,Fridberg,119.1928155645165,-119.1928155645165,242.385631129033,247.4933849122341,131.6979643063896,12.5051487418731,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,54,5,9,0.0013345806642377,99.99999999969326,,,,True,0.0,0.0,True,True
pvl_delta,100,1,Horstmann,128.05975738335317,-128.05975738335317,264.11951476670635,274.5401955106587,138.6294361119891,10.569678728635893,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,670,89,32,0.0801542068740552,,1.1229848163681937,0.1898601881362626,1.3716933260464312,True,0.0,0.0,True,True
q_learning,100,1,Horstmann,137.88073704041278,-137.88073704041278,279.7614740808256,284.97181445280177,138.6294361119891,0.7486990715762829,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,24,6,2,0.6860694096181935,0.0923969355859739,,,,True,15.641959314119276,10.431618942143075,False,False
pvl_delta,100,2,Horstmann,129.5576922883703,-129.5576922883703,267.1153845767406,277.53606532069296,138.6294361119891,9.07174382361876,False,1,0,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,220,29,32,0.0690587742536053,,1e-06,1.121462522091215,1.0167241907724798,True,0.0,0.0,True,True
q_learning,100,2,Horstmann,137.2597352530418,-137.2597352530418,278.5194705060836,283.7298108780598,138.6294361119891,1.3697008589472546,False,0,0,0,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,42,9,10,0.4585702664965996,0.1612531598891476,,,,True,11.404085929343012,6.193745557366867,False,False
pvl_delta,100,3,Horstmann,123.57198784063053,-123.57198784063053,255.14397568126105,265.5646564252134,138.6294361119891,15.057448271358552,False,1,0,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,500,71,32,0.0706460298719743,,0.3055576470600052,1e-06,1.3326114463086378,True,0.0,0.0,True,True
q_learning,100,3,Horstmann,137.2351210368572,-137.2351210368572,278.4702420737144,283.6805824456906,138.6294361119891,1.394315075131857,False,0,1,1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,18,4,2,1.0,0.0859232569950014,,,,True,23.326266392453363,18.115926020477218,False,False
pvl_delta,100,4,Horstmann,133.84789495013115,-133.84789495013115,275.6957899002623,286.11647064421464,138.6294361119891,4.781541161857916,False,1,0,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,140,23,32,0.5655746989668762,,1e-06,2.320455087241988,0.2953209440600947,True,0.0,3.7473363118752445,True,False
q_learning,100,4,Horstmann,136.5793969801816,-136.5793969801816,277.1587939603632,282.3691343323394,138.6294361119891,2.050039131807466,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,282,68,10,0.0004920443777013,100.0,,,,True,1.4630040601009,0.0,False,True
pvl_delta,100,5,Horstmann,122.32312122585392,-122.32312122585392,252.64624245170785,263.0669231956602,138.6294361119891,16.30631488613514,False,1,0,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,150,21,32,0.9410173026906432,,1e-06,0.6105301954629935,0.6253483205995358,True,0.0,0.0,True,True
q_learning,100,5,Horstmann,134.6079682972235,-134.6079682972235,273.21593659444693,278.4262769664232,138.6294361119891,4.0214678147656,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,27,7,10,0.6644406162844679,0.2743705238651691,,,,True,20.56969414273908,15.359353770762993,False,False
pvl_delta,100,6,Horstmann,81.29523914761413,-81.29523914761413,170.59047829522825,181.01115903918063,138.6294361119891,57.33419696437494,False,1,1,2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,490,66,32,0.0817788061534953,,2.0,1e-06,1.4021587011711831,True,0.0,0.0,True,True
q_learning,100,6,Horstmann,138.52413478095008,-138.52413478095008,281.04826956190016,286.2586099338764,138.6294361119891,0.1053013310389872,False,0,1,1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,36,11,3,1.0,0.0245500818436947,,,,True,110.4577912666719,105.24745089469579,False,False
pvl_delta,100,7,Horstmann,120.6077709726718,-120.6077709726718,249.2155419453436,259.63622268929595,138.6294361119891,18.021665139317264,False,0,0,0,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,115,18,32,0.4407375634138165,,0.1634198585230104,0.0426163755848114,1.0313071845961264,True,0.0,0.0,True,True
q_learning,100,7,Horstmann,134.74407430261118,-134.74407430261118,273.4881486052224,278.69848897719856,138.6294361119891,3.885361809377883,False,0,0,0,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,27,7,10,0.4916019697291272,0.3167678087304922,,,,True,24.272606659878818,19.062266287902617,False,False
pvl_delta,100,8,Horstmann,137.39274250051113,-137.39274250051113,282.78548500102227,293.2061657449746,138.6294361119891,1.236693611477932,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1005,141,32,0.0008204588596855,,2.0,0.0706097112016341,3.665038325986152,True,3.1742995941435197,8.384639966119664,False,False
q_learning,100,8,Horstmann,137.80559270343937,-137.80559270343937,279.61118540687875,284.82152577885495,138.6294361119891,0.823843408549692,False,0,0,0,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,75,11,10,0.4570228847591063,0.1507974234211432,,,,True,0.0,0.0,True,True
pvl_delta,100,9,Horstmann,109.40651777437034,-109.40651777437034,226.8130355487407,237.23371629269303,138.6294361119891,29.22291833761872,False,0,0,0,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,520,67,32,0.4018424747575306,,0.0173847607305681,0.2020759882899057,1.1967552965757449,True,0.0,0.0,True,True
q_learning,100,9,Horstmann,130.09829722862426,-130.09829722862426,264.1965944572485,269.4069348292247,138.6294361119891,8.531138883364804,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,30,6,10,0.7861765722249211,0.3313224195407475,,,,True,37.38355890850784,32.17321853653169,False,False
pvl_delta,100,10,Horstmann,109.980346917096,-109.980346917096,227.96069383419203,238.3813745781444,138.6294361119891,28.64908919489305,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,625,66,32,0.8166835193769364,,1.118790021685228,0.0162744343438797,1.0780625555254295,True,0.0,0.0,True,True
q_learning,100,10,Horstmann,131.91990374425046,-131.91990374425046,267.8398074885009,273.0501478604771,138.6294361119891,6.709532367738603,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,27,7,2,0.9574416225744062,0.2011168693234464,,,,True,39.879113654308895,34.66877328233272,False,False
pvl_delta,100,11,Horstmann,136.00194233829956,-136.00194233829956,280.0038846765991,290.42456542055146,138.6294361119891,2.6274937736895083,False,0,0,0,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,150,21,32,0.2287313167857746,,1.0432273085493005,0.202617499229616,0.6884957327956814,True,0.04840790114343463,5.258748273119579,False,False
q_learning,100,11,Horstmann,137.97773838772784,-137.97773838772784,279.9554767754557,285.1658171474319,138.6294361119891,0.6516977242612256,False,0,1,1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,30,8,10,1.0,0.0614724152556271,,,,True,0.0,0.0,True,True
pvl_delta,100,12,Horstmann,130.95641221623114,-130.95641221623114,269.9128244324623,280.33350517641463,138.6294361119891,7.673023895757922,False,0,1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,150,23,32,0.999999,,0.0061323712791527,0.8639342713731446,0.4190813868564205,True,0.0,0.0,True,True
